[18:02:16.447] Namespace(root_path='../data/2018LA_Seg_Training Set/', exp='UAMT_unlabel', max_iterations=6000, batch_size=4, labeled_bs=2, width=16, base_lr=0.01, deterministic=1, seed=1337, gpu='0', ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=40.0)
[18:03:27.570] 8 itertations per epoch
[18:03:44.675] iteration 1 : loss : 0.642422 cons_dist: 0.200668, loss_weight: 0.000674
[18:03:45.671] iteration 2 : loss : 0.661885 cons_dist: 0.037846, loss_weight: 0.000674
[18:03:46.668] iteration 3 : loss : 0.586239 cons_dist: 0.013690, loss_weight: 0.000674
[18:03:47.678] iteration 4 : loss : 0.549584 cons_dist: 0.017739, loss_weight: 0.000674
[18:03:48.688] iteration 5 : loss : 0.550693 cons_dist: 0.024230, loss_weight: 0.000674
[18:03:49.697] iteration 6 : loss : 0.602247 cons_dist: 0.022999, loss_weight: 0.000674
[18:03:50.705] iteration 7 : loss : 0.568147 cons_dist: 0.036339, loss_weight: 0.000674
[18:03:51.714] iteration 8 : loss : 0.594796 cons_dist: 0.010390, loss_weight: 0.000674
[18:03:53.467] iteration 9 : loss : 0.502190 cons_dist: 0.009842, loss_weight: 0.000674
[18:03:54.462] iteration 10 : loss : 0.402894 cons_dist: 0.019639, loss_weight: 0.000674
[18:03:55.457] iteration 11 : loss : 0.507904 cons_dist: 0.024238, loss_weight: 0.000674
[18:03:56.452] iteration 12 : loss : 0.463355 cons_dist: 0.006620, loss_weight: 0.000674
[18:03:57.446] iteration 13 : loss : 0.489641 cons_dist: 0.026460, loss_weight: 0.000674
[18:03:58.446] iteration 14 : loss : 0.464921 cons_dist: 0.006626, loss_weight: 0.000674
[18:03:59.456] iteration 15 : loss : 0.456918 cons_dist: 0.007518, loss_weight: 0.000674
[18:04:00.457] iteration 16 : loss : 0.465711 cons_dist: 0.052075, loss_weight: 0.000674
[18:04:02.050] iteration 17 : loss : 0.483717 cons_dist: 0.005098, loss_weight: 0.000674
[18:04:03.044] iteration 18 : loss : 0.457810 cons_dist: 0.008329, loss_weight: 0.000674
[18:04:04.038] iteration 19 : loss : 0.516835 cons_dist: 0.074322, loss_weight: 0.000674
[18:04:05.032] iteration 20 : loss : 0.445307 cons_dist: 0.005804, loss_weight: 0.000674
[18:04:06.026] iteration 21 : loss : 0.472180 cons_dist: 0.005563, loss_weight: 0.000674
[18:04:07.018] iteration 22 : loss : 0.484731 cons_dist: 0.017559, loss_weight: 0.000674
[18:04:08.013] iteration 23 : loss : 0.454099 cons_dist: 0.106324, loss_weight: 0.000674
[18:04:09.008] iteration 24 : loss : 0.401172 cons_dist: 0.039616, loss_weight: 0.000674
[18:04:10.799] iteration 25 : loss : 0.476192 cons_dist: 0.008447, loss_weight: 0.000674
[18:04:11.792] iteration 26 : loss : 0.420180 cons_dist: 0.010827, loss_weight: 0.000674
[18:04:12.788] iteration 27 : loss : 0.456878 cons_dist: 0.009821, loss_weight: 0.000674
[18:04:13.782] iteration 28 : loss : 0.424313 cons_dist: 0.020827, loss_weight: 0.000674
[18:04:14.775] iteration 29 : loss : 0.393236 cons_dist: 0.014913, loss_weight: 0.000674
[18:04:15.771] iteration 30 : loss : 0.424422 cons_dist: 0.006903, loss_weight: 0.000674
[18:04:16.765] iteration 31 : loss : 0.432161 cons_dist: 0.010234, loss_weight: 0.000674
[18:04:17.759] iteration 32 : loss : 0.462055 cons_dist: 0.032786, loss_weight: 0.000674
[18:04:19.396] iteration 33 : loss : 0.377210 cons_dist: 0.004606, loss_weight: 0.000674
[18:04:20.390] iteration 34 : loss : 0.403297 cons_dist: 0.004281, loss_weight: 0.000674
[18:04:21.382] iteration 35 : loss : 0.431465 cons_dist: 0.008944, loss_weight: 0.000674
[18:04:22.374] iteration 36 : loss : 0.443674 cons_dist: 0.013353, loss_weight: 0.000674
[18:04:23.368] iteration 37 : loss : 0.425315 cons_dist: 0.013946, loss_weight: 0.000674
[18:04:24.360] iteration 38 : loss : 0.429620 cons_dist: 0.005607, loss_weight: 0.000674
[18:04:25.355] iteration 39 : loss : 0.458736 cons_dist: 0.022369, loss_weight: 0.000674
[18:04:26.348] iteration 40 : loss : 0.402545 cons_dist: 0.008564, loss_weight: 0.000674
[18:04:28.020] iteration 41 : loss : 0.406077 cons_dist: 0.008266, loss_weight: 0.000674
[18:04:29.014] iteration 42 : loss : 0.466703 cons_dist: 0.035706, loss_weight: 0.000674
[18:04:30.007] iteration 43 : loss : 0.475180 cons_dist: 0.039416, loss_weight: 0.000674
[18:04:31.006] iteration 44 : loss : 0.420522 cons_dist: 0.003166, loss_weight: 0.000674
[18:04:32.001] iteration 45 : loss : 0.426929 cons_dist: 0.003107, loss_weight: 0.000674
[18:04:32.995] iteration 46 : loss : 0.499696 cons_dist: 0.007310, loss_weight: 0.000674
[18:04:33.989] iteration 47 : loss : 0.433731 cons_dist: 0.005066, loss_weight: 0.000674
[18:04:34.988] iteration 48 : loss : 0.475848 cons_dist: 0.021600, loss_weight: 0.000674
[18:04:36.682] iteration 49 : loss : 0.359836 cons_dist: 0.015955, loss_weight: 0.000674
[18:04:37.677] iteration 50 : loss : 0.427442 cons_dist: 0.008901, loss_weight: 0.000674
[18:04:39.036] iteration 51 : loss : 0.457630 cons_dist: 0.015626, loss_weight: 0.000674
[18:04:40.035] iteration 52 : loss : 0.426026 cons_dist: 0.003649, loss_weight: 0.000674
[18:04:41.033] iteration 53 : loss : 0.441018 cons_dist: 0.007654, loss_weight: 0.000674
[18:04:42.035] iteration 54 : loss : 0.428818 cons_dist: 0.004902, loss_weight: 0.000674
[18:04:43.038] iteration 55 : loss : 0.395714 cons_dist: 0.019221, loss_weight: 0.000674
[18:04:44.037] iteration 56 : loss : 0.368757 cons_dist: 0.016801, loss_weight: 0.000674
[18:04:45.743] iteration 57 : loss : 0.370700 cons_dist: 0.002251, loss_weight: 0.000674
[18:04:46.741] iteration 58 : loss : 0.376613 cons_dist: 0.005516, loss_weight: 0.000674
[18:04:47.741] iteration 59 : loss : 0.423296 cons_dist: 0.017148, loss_weight: 0.000674
[18:04:48.744] iteration 60 : loss : 0.409062 cons_dist: 0.008848, loss_weight: 0.000674
[18:04:49.745] iteration 61 : loss : 0.379685 cons_dist: 0.003508, loss_weight: 0.000674
[18:04:50.745] iteration 62 : loss : 0.385143 cons_dist: 0.004848, loss_weight: 0.000674
[18:04:51.742] iteration 63 : loss : 0.348678 cons_dist: 0.004904, loss_weight: 0.000674
[18:04:52.743] iteration 64 : loss : 0.280457 cons_dist: 0.005652, loss_weight: 0.000674
[18:04:54.451] iteration 65 : loss : 0.378844 cons_dist: 0.006704, loss_weight: 0.000674
[18:04:55.470] iteration 66 : loss : 0.348631 cons_dist: 0.011396, loss_weight: 0.000674
