[12:40:46.982] Namespace(root_path='../data/2018LA_Seg_Training Set/', exp='UAMT_unlabel', max_iterations=6000, batch_size=4, labeled_bs=1, width=8, base_lr=0.01, deterministic=1, seed=1337, gpu='0', ema_decay=0.99, consistency_type='mse', consistency=0.001, consistency_rampup=40.0, labels=2)
[12:40:49.428] 2 itertations per epoch
[12:40:53.374] iteration 1 : loss : 0.873231 cons_dist: 0.076990, loss_weight: 0.000007
[12:40:54.550] iteration 2 : loss : 0.726389 cons_dist: 0.180779, loss_weight: 0.000007
[12:40:57.726] iteration 3 : loss : 0.676233 cons_dist: 0.046849, loss_weight: 0.000007
[12:40:58.914] iteration 4 : loss : 0.711143 cons_dist: 0.032445, loss_weight: 0.000007
[12:41:02.525] iteration 5 : loss : 0.572963 cons_dist: 0.115284, loss_weight: 0.000007
[12:41:03.713] iteration 6 : loss : 0.718731 cons_dist: 0.069633, loss_weight: 0.000007
[12:41:06.587] iteration 7 : loss : 0.676855 cons_dist: 0.019279, loss_weight: 0.000007
[12:41:07.776] iteration 8 : loss : 0.636180 cons_dist: 0.055948, loss_weight: 0.000007
[12:41:10.294] iteration 9 : loss : 0.574946 cons_dist: 0.070980, loss_weight: 0.000007
[12:41:11.479] iteration 10 : loss : 0.592201 cons_dist: 0.117556, loss_weight: 0.000007
[12:41:14.309] iteration 11 : loss : 0.598010 cons_dist: 0.134124, loss_weight: 0.000007
[12:41:15.506] iteration 12 : loss : 0.426834 cons_dist: 0.007096, loss_weight: 0.000007
[12:41:18.154] iteration 13 : loss : 0.579240 cons_dist: 0.149869, loss_weight: 0.000007
[12:41:19.349] iteration 14 : loss : 0.576039 cons_dist: 0.062055, loss_weight: 0.000007
[12:41:22.248] iteration 15 : loss : 0.425949 cons_dist: 0.065517, loss_weight: 0.000007
[12:41:23.445] iteration 16 : loss : 0.619522 cons_dist: 0.030057, loss_weight: 0.000007
[12:41:26.723] iteration 17 : loss : 0.654963 cons_dist: 0.119589, loss_weight: 0.000007
[12:41:27.919] iteration 18 : loss : 0.473713 cons_dist: 0.045797, loss_weight: 0.000007
[12:41:30.896] iteration 19 : loss : 0.633469 cons_dist: 0.015667, loss_weight: 0.000007
[12:41:32.099] iteration 20 : loss : 0.499278 cons_dist: 0.009106, loss_weight: 0.000007
[12:41:34.743] iteration 21 : loss : 0.452857 cons_dist: 0.071446, loss_weight: 0.000007
[12:41:35.930] iteration 22 : loss : 0.435280 cons_dist: 0.068549, loss_weight: 0.000007
[12:41:38.669] iteration 23 : loss : 0.566887 cons_dist: 0.104381, loss_weight: 0.000007
[12:41:39.865] iteration 24 : loss : 0.518529 cons_dist: 0.015926, loss_weight: 0.000007
[12:41:42.537] iteration 25 : loss : 0.501130 cons_dist: 0.068458, loss_weight: 0.000007
[12:41:43.733] iteration 26 : loss : 0.498868 cons_dist: 0.006069, loss_weight: 0.000007
[12:41:46.031] iteration 27 : loss : 0.511501 cons_dist: 0.028241, loss_weight: 0.000007
[12:41:47.231] iteration 28 : loss : 0.440950 cons_dist: 0.016946, loss_weight: 0.000007
[12:41:50.257] iteration 29 : loss : 0.420642 cons_dist: 0.031545, loss_weight: 0.000007
[12:41:51.467] iteration 30 : loss : 0.498310 cons_dist: 0.032854, loss_weight: 0.000007
[12:41:53.856] iteration 31 : loss : 0.479285 cons_dist: 0.034292, loss_weight: 0.000007
[12:41:55.056] iteration 32 : loss : 0.586105 cons_dist: 0.011907, loss_weight: 0.000007
[12:41:57.240] iteration 33 : loss : 0.478466 cons_dist: 0.104475, loss_weight: 0.000007
[12:41:58.438] iteration 34 : loss : 0.458356 cons_dist: 0.077068, loss_weight: 0.000007
[12:42:00.550] iteration 35 : loss : 0.476475 cons_dist: 0.023018, loss_weight: 0.000007
[12:42:01.752] iteration 36 : loss : 0.435699 cons_dist: 0.009951, loss_weight: 0.000007
[12:42:04.278] iteration 37 : loss : 0.408584 cons_dist: 0.075809, loss_weight: 0.000007
[12:42:05.494] iteration 38 : loss : 0.462192 cons_dist: 0.027333, loss_weight: 0.000007
[12:42:07.937] iteration 39 : loss : 0.428794 cons_dist: 0.023771, loss_weight: 0.000007
[12:42:09.147] iteration 40 : loss : 0.543314 cons_dist: 0.024480, loss_weight: 0.000007
