[18:02:16.450] Namespace(root_path='../data/2018LA_Seg_Training Set/', exp='UAMT_unlabel', max_iterations=6000, batch_size=4, width=16, labeled_bs=2, base_lr=0.01, deterministic=1, seed=1337, gpu='0', consistency_type='mse', consistency=0.1, consistency_rampup=40.0)
[18:03:27.569] 8 itertations per epoch
[10:54:23.376] Namespace(root_path='../data/2018LA_Seg_Training Set/', exp='UAMT_unlabel', max_iterations=6000, batch_size=4, width=16, labeled_bs=2, base_lr=0.01, deterministic=1, seed=1337, gpu='0', consistency_type='mse', consistency=0.1, consistency_rampup=40.0)
[10:55:50.371] 8 itertations per epoch
[10:56:09.289] iteration 1 : loss : 197.098419 cons_dist: 291451.437500, loss_weight: 0.000674
[10:56:11.876] iteration 2 : loss : 1283.053833 cons_dist: 1901141.500000, loss_weight: 0.000674
[10:56:14.466] iteration 3 : loss : 2249.807861 cons_dist: 3327770.000000, loss_weight: 0.000674
[10:56:17.066] iteration 4 : loss : 672.390137 cons_dist: 943464.312500, loss_weight: 0.000674
[10:56:19.681] iteration 5 : loss : 142.489105 cons_dist: 70774.234375, loss_weight: 0.000674
[10:56:22.297] iteration 6 : loss : 110.196114 cons_dist: 0.066922, loss_weight: 0.000674
[10:56:24.926] iteration 7 : loss : 162.566101 cons_dist: 2.972438, loss_weight: 0.000674
[10:56:27.559] iteration 8 : loss : 146.856613 cons_dist: 0.000000, loss_weight: 0.000674
[10:56:31.612] iteration 9 : loss : 303.632629 cons_dist: 0.091049, loss_weight: 0.000674
[10:56:34.246] iteration 10 : loss : 340.540039 cons_dist: 60932.132812, loss_weight: 0.000674
[10:56:36.885] iteration 11 : loss : 571.928589 cons_dist: 0.004537, loss_weight: 0.000674
[10:56:39.537] iteration 12 : loss : 513.344971 cons_dist: 0.000000, loss_weight: 0.000674
[10:56:42.199] iteration 13 : loss : 645.597778 cons_dist: 0.000000, loss_weight: 0.000674
[10:56:44.867] iteration 14 : loss : 339.846436 cons_dist: 0.000000, loss_weight: 0.000674
[10:56:47.539] iteration 15 : loss : 776.440002 cons_dist: 0.000026, loss_weight: 0.000674
[10:56:50.220] iteration 16 : loss : 584.813843 cons_dist: 58508.023438, loss_weight: 0.000674
[10:56:54.431] iteration 17 : loss : 873.026306 cons_dist: 0.000000, loss_weight: 0.000674
[10:56:57.087] iteration 18 : loss : 507.671112 cons_dist: 18.000000, loss_weight: 0.000674
[10:56:59.763] iteration 19 : loss : 642.792480 cons_dist: 0.000000, loss_weight: 0.000674
[10:57:02.439] iteration 20 : loss : 377.612427 cons_dist: 0.000000, loss_weight: 0.000674
[10:57:05.118] iteration 21 : loss : 981.497192 cons_dist: 0.000000, loss_weight: 0.000674
[10:57:07.800] iteration 22 : loss : 566.266663 cons_dist: 44642.847656, loss_weight: 0.000674
[10:57:10.482] iteration 23 : loss : 328.950348 cons_dist: 0.000156, loss_weight: 0.000674
[10:57:13.159] iteration 24 : loss : 494.271179 cons_dist: 0.000000, loss_weight: 0.000674
[10:57:18.392] iteration 25 : loss : 209.438370 cons_dist: 0.000000, loss_weight: 0.000674
[10:57:21.030] iteration 26 : loss : 828.665710 cons_dist: 683929.187500, loss_weight: 0.000674
[10:57:23.692] iteration 27 : loss : 214.978210 cons_dist: 0.000000, loss_weight: 0.000674
[10:57:26.368] iteration 28 : loss : 312.500763 cons_dist: 0.000000, loss_weight: 0.000674
[10:57:29.055] iteration 29 : loss : 575.030396 cons_dist: 590703.250000, loss_weight: 0.000674
[10:57:31.729] iteration 30 : loss : 126.077103 cons_dist: 0.000000, loss_weight: 0.000674
[10:57:34.404] iteration 31 : loss : 130.547195 cons_dist: 0.000000, loss_weight: 0.000674
[10:57:37.100] iteration 32 : loss : 119.557877 cons_dist: 0.000000, loss_weight: 0.000674
[10:57:40.474] iteration 33 : loss : 119.268402 cons_dist: 0.000000, loss_weight: 0.000674
[10:57:43.176] iteration 34 : loss : 2293.997803 cons_dist: 3329490.750000, loss_weight: 0.000674
[10:57:45.859] iteration 35 : loss : 2042.805054 cons_dist: 2796175.750000, loss_weight: 0.000674
[10:57:48.541] iteration 36 : loss : 421.589813 cons_dist: 126011.625000, loss_weight: 0.000674
[10:57:51.230] iteration 37 : loss : 983.759583 cons_dist: 789025.437500, loss_weight: 0.000674
[10:57:53.919] iteration 38 : loss : 818.053711 cons_dist: 642790.625000, loss_weight: 0.000674
[10:57:56.605] iteration 39 : loss : 461.668213 cons_dist: 0.000000, loss_weight: 0.000674
[10:57:59.440] iteration 40 : loss : 538.512207 cons_dist: 9.982914, loss_weight: 0.000674
[10:58:07.210] iteration 41 : loss : 1441.678467 cons_dist: 1138149.750000, loss_weight: 0.000674
[10:58:09.833] iteration 42 : loss : 1854.153320 cons_dist: 1794774.000000, loss_weight: 0.000674
[10:58:12.466] iteration 43 : loss : 488.616119 cons_dist: 5264.049316, loss_weight: 0.000674
[10:58:15.129] iteration 44 : loss : 636.593262 cons_dist: 284.989685, loss_weight: 0.000674
[10:58:17.928] iteration 45 : loss : 375.783691 cons_dist: 0.000000, loss_weight: 0.000674
