[12:43:36.441] Namespace(root_path='../data/2018LA_Seg_Training Set/', exp='Mismatch_unlabel', max_iterations=6000, batch_size=4, width=8, labeled_bs=1, base_lr=0.01, deterministic=1, seed=1337, gpu='0', consistency_type='mse', consistency=0.1, consistency_rampup=40.0, labels=2, threshold=0.0)
[12:44:26.132] 2 itertations per epoch
[12:44:37.073] iteration 1 : loss : 0.779350 cons_dist: 0.368513, loss_weight: 0.000674
[12:44:38.471] iteration 2 : loss : 0.676121 cons_dist: 0.564129, loss_weight: 0.000674
[12:44:40.761] iteration 3 : loss : 0.644754 cons_dist: 0.531905, loss_weight: 0.000674
[12:44:42.168] iteration 4 : loss : 0.710863 cons_dist: 0.321283, loss_weight: 0.000674
[12:44:44.249] iteration 5 : loss : 0.592620 cons_dist: 0.632251, loss_weight: 0.000674
[12:44:45.667] iteration 6 : loss : 0.638562 cons_dist: 0.447239, loss_weight: 0.000674
[12:44:48.152] iteration 7 : loss : 0.566220 cons_dist: 0.267517, loss_weight: 0.000674
[12:44:49.572] iteration 8 : loss : 0.586793 cons_dist: 0.284961, loss_weight: 0.000674
[12:44:51.713] iteration 9 : loss : 0.587235 cons_dist: 0.277850, loss_weight: 0.000674
[12:44:53.140] iteration 10 : loss : 0.508584 cons_dist: 0.198689, loss_weight: 0.000674
[12:44:55.419] iteration 11 : loss : 0.480042 cons_dist: 0.256086, loss_weight: 0.000674
[12:44:56.846] iteration 12 : loss : 0.543834 cons_dist: 0.540006, loss_weight: 0.000674
[12:44:59.261] iteration 13 : loss : 0.436225 cons_dist: 0.193574, loss_weight: 0.000674
[12:45:00.693] iteration 14 : loss : 0.476798 cons_dist: 0.346631, loss_weight: 0.000674
[12:45:03.210] iteration 15 : loss : 0.488457 cons_dist: 0.436842, loss_weight: 0.000674
[12:45:04.643] iteration 16 : loss : 0.384962 cons_dist: 0.131390, loss_weight: 0.000674
[12:45:06.913] iteration 17 : loss : 0.401062 cons_dist: 0.130000, loss_weight: 0.000674
[12:45:08.348] iteration 18 : loss : 0.509600 cons_dist: 0.412047, loss_weight: 0.000674
[12:45:10.382] iteration 19 : loss : 0.453541 cons_dist: 0.325061, loss_weight: 0.000674
[12:45:11.820] iteration 20 : loss : 0.480025 cons_dist: 0.422273, loss_weight: 0.000674
[12:45:14.080] iteration 21 : loss : 0.361983 cons_dist: 0.245950, loss_weight: 0.000674
[12:45:15.520] iteration 22 : loss : 0.472951 cons_dist: 0.352716, loss_weight: 0.000674
[12:45:17.786] iteration 23 : loss : 0.361335 cons_dist: 0.177040, loss_weight: 0.000674
[12:45:19.223] iteration 24 : loss : 0.440078 cons_dist: 0.293218, loss_weight: 0.000674
[12:45:21.968] iteration 25 : loss : 0.325492 cons_dist: 0.210389, loss_weight: 0.000674
