[12:41:22.913] Namespace(root_path='../data/2018LA_Seg_Training Set/', exp='Mismatch_unlabel', max_iterations=6000, batch_size=4, width=8, labeled_bs=2, base_lr=0.01, deterministic=1, seed=1337, gpu='0', consistency_type='mse', consistency=1.0, consistency_rampup=40.0, labels=2)
[12:42:49.109] 1 itertations per epoch
[16:01:11.508] Namespace(root_path='../data/2018LA_Seg_Training Set/', exp='Mismatch_unlabel', max_iterations=6000, batch_size=4, width=8, labeled_bs=2, base_lr=0.01, deterministic=1, seed=1337, gpu='0', consistency_type='mse', consistency=1.0, consistency_rampup=40.0, labels=2)
[16:04:53.666] 1 itertations per epoch
[16:47:14.333] Namespace(root_path='../data/2018LA_Seg_Training Set/', exp='Mismatch_unlabel', max_iterations=6000, batch_size=4, width=8, labeled_bs=2, base_lr=0.01, deterministic=1, seed=1337, gpu='0', consistency_type='mse', consistency=1.0, consistency_rampup=40.0, labels=2)
[17:35:31.705] Namespace(root_path='../data/2018LA_Seg_Training Set/', exp='Mismatch_unlabel', max_iterations=6000, batch_size=4, width=8, labeled_bs=2, base_lr=0.01, deterministic=1, seed=1337, gpu='0', consistency_type='mse', consistency=1.0, consistency_rampup=40.0, labels=2)
[09:21:47.970] Namespace(root_path='../data/2018LA_Seg_Training Set/', exp='Mismatch_unlabel', max_iterations=6000, batch_size=4, width=8, labeled_bs=2, base_lr=0.01, deterministic=1, seed=1337, gpu='0', consistency_type='mse', consistency=1.0, consistency_rampup=40.0, labels=2)
[09:24:32.590] 1 itertations per epoch
[09:25:10.124] iteration 1 : loss : 0.709280 cons_dist: 0.950605, loss_weight: 0.006738
[09:25:12.871] iteration 2 : loss : 0.714672 cons_dist: 0.400282, loss_weight: 0.006738
[09:25:15.623] iteration 3 : loss : 0.669296 cons_dist: 0.522491, loss_weight: 0.006738
[09:25:17.798] iteration 4 : loss : 0.636700 cons_dist: 0.454159, loss_weight: 0.006738
[09:25:20.415] iteration 5 : loss : 0.638447 cons_dist: 0.378842, loss_weight: 0.006738
[09:25:23.058] iteration 6 : loss : 0.572157 cons_dist: 0.786730, loss_weight: 0.006738
[09:25:25.352] iteration 7 : loss : 0.577124 cons_dist: 0.673624, loss_weight: 0.006738
[09:25:28.507] iteration 8 : loss : 0.533152 cons_dist: 0.835591, loss_weight: 0.006738
[09:25:31.047] iteration 9 : loss : 0.526235 cons_dist: 0.777880, loss_weight: 0.006738
[09:25:33.731] iteration 10 : loss : 0.489815 cons_dist: 1.160699, loss_weight: 0.006738
[09:25:36.032] iteration 11 : loss : 0.479369 cons_dist: 1.171349, loss_weight: 0.006738
[09:25:38.349] iteration 12 : loss : 0.484655 cons_dist: 0.985228, loss_weight: 0.006738
[09:25:41.133] iteration 13 : loss : 0.467603 cons_dist: 0.826360, loss_weight: 0.006738
[09:25:43.574] iteration 14 : loss : 0.432252 cons_dist: 0.489637, loss_weight: 0.006738
[09:25:45.994] iteration 15 : loss : 0.419364 cons_dist: 0.600606, loss_weight: 0.006738
[09:25:48.168] iteration 16 : loss : 0.415076 cons_dist: 0.609481, loss_weight: 0.006738
[09:25:50.364] iteration 17 : loss : 0.404533 cons_dist: 0.481333, loss_weight: 0.006738
